Year,Region,Region Code,Country,Country Code,Overall score
2022,Eastern Africa,AFE,Mozambique,MOZ,36.2
2022,South-Eastern Asia,ASE,Myanmar,MMR,50.2
2022,Southern Africa,AFZ,Namibia,NAM,36.5
2022,Pacific Islands,OPI,Nauru,NRU,10
2022,Southern Asia,ASZ,Nepal,NPL,42.6
2022,Western Europe,EUW,Netherlands,NLD,79.6
2022,Australia and New Zealand,OAZ,New Zealand,NZL,66.2
2022,Central America,AMM,Nicaragua,NIC,39.4
2022,Western Africa,AFW,Niger,NER,35.7
2022,Western Africa,AFW,Nigeria,NGA,43.9
2022,Southern Europe,EUZ,North Macedonia,MKD,62.8
2022,Northern Europe,EUN,Norway,NOR,85.2
2022,Western Asia,ASW,Oman,OMN,72.5
2022,Southern Asia,ASZ,Pakistan,PAK,42.1
2022,Pacific Islands,OPI,Palau,PLW,33.8
2022,Western Asia,ASW,Palestine,PSE,72.7
2022,Central America,AMM,Panama,PAN,44
2022,Pacific Islands,OPI,Papua New Guinea,PNG,26
2022,South America,AMZ,Paraguay,PRY,54.8
2022,South America,AMZ,Peru,PER,60.6
2022,South-Eastern Asia,ASE,Philippines,PHL,63.6
2022,Eastern Europe,EUE,Poland,POL,87
2022,Southern Europe,EUZ,Portugal,PRT,71.2
2022,Western Asia,ASW,Qatar,QAT,39.7
2022,Eastern Europe,EUE,Romania,ROU,71.5
2022,Eastern Europe,EUE,Russian Federation,RUS,61.8
2022,Eastern Africa,AFE,Rwanda,RWA,58
2022,Pacific Islands,OPI,Samoa,WSM,42
2022,Southern Europe,EUZ,San Marino,SMR,34.9
2022,Middle Africa,AFM,Sao Tome and Principe,STP,39.7
2022,Western Asia,ASW,Saudi Arabia,SAU,58.1
2022,Western Africa,AFW,Senegal,SEN,46.6
2022,Southern Europe,EUZ,Serbia,SRB,68.9
2022,Eastern Africa,AFE,Seychelles,SYC,38
2022,Western Africa,AFW,Sierra Leone,SLE,47
2022,South-Eastern Asia,ASE,Singapore,SGP,90
2022,Eastern Europe,EUE,Slovakia,SVK,75.7
2022,Southern Europe,EUZ,Slovenia,SVN,82.4
2022,Pacific Islands,OPI,Solomon Islands,SLB,28.1
2022,Eastern Africa,AFE,Somalia,SOM,37
2022,Southern Africa,AFZ,South Africa,ZAF,52.8
2022,Eastern Africa,AFE,South Sudan,SSD,8.5
2022,Southern Europe,EUZ,Spain,ESP,73.1
2022,Southern Asia,ASZ,Sri Lanka,LKA,50.1
2022,Caribbean,AMC,St. Kitts and Nevis,KNA,41.2
2022,Caribbean,AMC,St. Lucia,LCA,52.9
2022,Caribbean,AMC,St. Vincent & Grenadines,VCT,47.3
2022,South America,AMZ,Suriname,SUR,53.6
2022,Northern Europe,EUN,Sweden,SWE,81
2022,Western Europe,EUW,Switzerland,CHE,65.7
2022,Western Asia,ASW,Syrian Arab Republic,SYR,21.6
2022,Eastern Asia,ASF,Taiwan,TWN,65.6
2022,Central Asia,ASC,Tajikistan,TJK,41.8
2022,Eastern Africa,AFE,Tanzania,TZA,54.5
2022,South-Eastern Asia,ASE,Thailand,THA,47.4
2022,Caribbean,AMC,The Bahamas,BHS,33
2022,Western Africa,AFW,The Gambia,GMB,45.1
2022,South-Eastern Asia,ASE,Timor-Leste,TLS,36.4
2022,Western Africa,AFW,Togo,TGO,42.7
2022,Pacific Islands,OPI,Tonga,TON,44.1
2022,Caribbean,AMC,Trinidad and Tobago,TTO,33.7
2022,Northern Africa,AFN,Tunisia,TUN,56.7
2022,Western Asia,ASW,Turkey,TUR,59.2
2022,Central Asia,ASC,Turkmenistan,TKM,1.5
2022,Pacific Islands,OPI,Tuvalu,TUV,29.7
2022,Eastern Africa,AFE,Uganda,UGA,45.6
2022,Eastern Europe,EUE,Ukraine,UKR,60.6
2022,Western Asia,ASW,United Arab Emirates,ARE,79.1
2022,Northern Europe,EUN,United Kingdom,GBR,56.4
2022,North America,AMN,United States,USA,70.7
2022,South America,AMZ,Uruguay,URY,55.6
2022,Central Asia,ASC,Uzbekistan,UZB,66.7
2022,Pacific Islands,OPI,Vanuatu,VUT,30.4
2022,South-Eastern Asia,ASE,Vietnam,VNM,54.4
2022,Western Asia,ASW,Yemen,YEM,35.3
2022,Eastern Africa,AFE,Zambia,ZMB,33.3
2022,Eastern Africa,AFE,Zimbabwe,ZWE,42.7
