country,country_code,ogdi_overall,non_ogdi_overall
Nigeria,NGA,46.788990825688074,45.41818181818182
North Macedonia,MKD,54.587155963302756,70.68181818181819
Norway,NOR,77.9816513761468,90.34545454545454
Oman,OMN,70.64220183486239,74.75454545454545
Pakistan,PAK,34.403669724770644,47.054545454545455
Palau,PLW,31.122448979591837,36.57272727272727
Palestine,PSE,71.10091743119267,75.24545454545455
Panama,PAN,49.082568807339456,41.027272727272724
Papua New Guinea,PNG,26.605504587155966,22.881818181818183
Paraguay,PRY,57.79816513761468,53.736363636363635
Peru,PER,53.669724770642205,68.16363636363636
Philippines,PHL,64.22018348623854,66.04545454545455
Poland,POL,78.89908256880734,93.50909090909092
Portugal,PRT,62.38532110091744,78.9090909090909
Qatar,QAT,34.403669724770644,47.27272727272727
Romania,ROU,62.38532110091744,79.93636363636364
Russian Federation,RUS,56.88073394495413,68.98181818181818
Rwanda,RWA,55.963302752293586,60.8
Samoa,WSM,39.908256880733944,42.36363636363636
San Marino,SMR,30.612244897959187,41.68181818181818
Sao Tome and Principe,STP,43.87755102040816,38.78181818181818
Saudi Arabia,SAU,55.04587155963303,60.50909090909091
Senegal,SEN,50,48.163636363636364
Serbia,SRB,62.84403669724771,74.04545454545455
Seychelles,SYC,31.122448979591837,46.98181818181818
Sierra Leone,SLE,54.587155963302756,43.19090909090909
Singapore,SGP,85.20408163265306,94.19090909090909
Slovakia,SVK,68.34862385321101,86.32727272727273
Slovenia,SVN,73.85321100917432,89.32727272727273
Solomon Islands,SLB,30.275229357798167,30.118181818181817
Somalia,SOM,44.4954128440367,29.854545454545455
South Africa,ZAF,54.587155963302756,47.918181818181814
South Sudan,SSD,15.137614678899084,5.054545454545455
Spain,ESP,70.18348623853211,76.01818181818182
Sri Lanka,LKA,48.165137614678905,54.32727272727273
St. Kitts and Nevis,KNA,29.591836734693878,54
St. Lucia,LCA,54.591836734693885,54.872727272727275
St. Vincent & Grenadines,VCT,46.42857142857143,49.445454545454545
Suriname,SUR,52.75229357798165,54.09090909090909
Sweden,SWE,72.4770642201835,87.12727272727273
Switzerland,CHE,59.17431192660551,71.05454545454545
Syrian Arab Republic,SYR,22.477064220183486,21.39090909090909
Taiwan,TWN,55.04587155963303,76.5
Tajikistan,TJK,37.1559633027523,46.418181818181814
Tanzania,TZA,52.29357798165138,58.981818181818184
Thailand,THA,43.57798165137615,49.6
The Bahamas,BHS,31.651376146788994,37.03636363636364
The Gambia,GMB,43.57798165137615,49.71818181818182
Timor-Leste,TLS,42.201834862385326,37.08181818181818
Togo,TGO,38.53211009174312,46.809090909090905
Tonga,TON,47.44897959183674,42.309090909090905
Trinidad and Tobago,TTO,30.73394495412844,39.20909090909091
Tunisia,TUN,49.082568807339456,64.07272727272728
Turkey,TUR,57.33944954128441,63.2
Turkmenistan,TKM,0,3.027272727272727
Tuvalu,TUV,42.3469387755102,21.599999999999998
Uganda,UGA,41.284403669724774,53.263636363636365
Ukraine,UKR,49.082568807339456,68.94545454545454
United Arab Emirates,ARE,72.01834862385321,84.41818181818182
United Kingdom,GBR,40.36697247706422,70.02727272727273
United States,USA,73.39449541284404,73.86363636363636
Uruguay,URY,47.247706422018354,62.627272727272725
Uzbekistan,UZB,69.26605504587157,66.7
Vanuatu,VUT,28.440366972477065,32.57272727272727
Vietnam,VNM,45.41284403669725,61.763636363636365
Yemen,YEM,38.9908256880734,35.43636363636364
Zambia,ZMB,43.57798165137615,22.972727272727273
Zimbabwe,ZWE,45.87155963302753,42.25454545454545
