year,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,Machine readable,Non proprietary,Download options,Metadata available,Terms of use
2016,38.484848484848484,34.54545454545455,33.333333333333336,27.272727272727273,35.75757575757576,9.696969696969697,31.515151515151516,19.09090909090909
2017,33.333333333333336,28.78787878787879,27.272727272727273,25.454545454545453,30.303030303030305,19.09090909090909,24.545454545454547,15.151515151515152
2018,40.60606060606061,36.06060606060606,34.54545454545455,31.515151515151516,38.484848484848484,21.818181818181817,31.21212121212121,19.696969696969695
2020,63.93939393939394,54.84848484848485,56.36363636363637,53.333333333333336,73.03030303030303,41.81818181818182,48.78787878787879,34.84848484848485
2022,53.333333333333336,46.06060606060606,46.36363636363637,48.18181818181818,61.21212121212121,35.75757575757576,42.121212121212125,31.21212121212121
