year,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Machine readable,Non proprietary,Download options,Metadata available,Terms of use
2020,70.5,58.6,55.5,22.3,3.5,61.2,86.7,41.4,48.3,22.9
2022,69.5,54.8,55.7,24.1,3.5,63.6,86.7,42.1,49.3,13.3
