year,country,country_code,data_categories,element,score,income_group,gni_pc,Median scores by income group,gni_logged,gni text
2022,Spain,ESP,All Categories,Overall score,73.1,High income,29690,65.45,10.298565567757805,GNI per capita (US$) is 29690
2022,St. Kitts and Nevis,KNA,All Categories,Overall score,41.2,High income,18820,65.45,9.842675413139371,GNI per capita (US$) is 18820
2022,Sweden,SWE,All Categories,Overall score,81,High income,59540,65.45,10.994403634569768,GNI per capita (US$) is 59540
2022,Switzerland,CHE,All Categories,Overall score,65.7,High income,90600,65.45,11.414209492031071,GNI per capita (US$) is 90600
2022,Taiwan,TWN,All Categories,Overall score,65.6,High income,,65.45,,
2022,The Bahamas,BHS,All Categories,Overall score,33,High income,26490,65.45,10.184522582266116,GNI per capita (US$) is 26490
2022,Trinidad and Tobago,TTO,All Categories,Overall score,33.7,High income,15000,65.45,9.615805480084347,GNI per capita (US$) is 15000
2022,United Arab Emirates,ARE,All Categories,Overall score,79.1,High income,41770,65.45,10.639933657491222,GNI per capita (US$) is 41770
2022,United Kingdom,GBR,All Categories,Overall score,56.4,High income,44480,65.45,10.702794928924463,GNI per capita (US$) is 44480
2022,United States,USA,All Categories,Overall score,70.7,High income,70930,65.45,11.169448754196132,GNI per capita (US$) is 70930
2022,Uruguay,URY,All Categories,Overall score,55.6,High income,16080,65.45,9.685331542732957,GNI per capita (US$) is 16080
2022,Albania,ALB,All Categories,Overall score,59.7,Upper middle income,6110,50.8,8.71768205216564,GNI per capita (US$) is 6110
2022,Argentina,ARG,All Categories,Overall score,42.8,Upper middle income,9960,50.8,9.206332350578643,GNI per capita (US$) is 9960
2022,Armenia,ARM,All Categories,Overall score,57.2,Upper middle income,4850,50.8,8.48673398393153,GNI per capita (US$) is 4850
2022,Azerbaijan,AZE,All Categories,Overall score,56.9,Upper middle income,4900,50.8,8.496990484098719,GNI per capita (US$) is 4900
2022,Belarus,BLR,All Categories,Overall score,58.7,Upper middle income,6940,50.8,8.84505705350085,GNI per capita (US$) is 6940
2022,Belize,BLZ,All Categories,Overall score,45.4,Upper middle income,6070,50.8,8.711113884053544,GNI per capita (US$) is 6070
2022,Bosnia and Herzegovina,BIH,All Categories,Overall score,45.3,Upper middle income,6810,50.8,8.826147399143558,GNI per capita (US$) is 6810
2022,Botswana,BWA,All Categories,Overall score,50.8,Upper middle income,6430,50.8,8.768729817231666,GNI per capita (US$) is 6430
2022,Brazil,BRA,All Categories,Overall score,64.4,Upper middle income,7740,50.8,8.954156966583772,GNI per capita (US$) is 7740
2022,Bulgaria,BGR,All Categories,Overall score,68.1,Upper middle income,11200,50.8,9.323669057283185,GNI per capita (US$) is 11200
2022,China,CHN,All Categories,Overall score,37,Upper middle income,11880,50.8,9.382611592916636,GNI per capita (US$) is 11880
2022,Colombia,COL,All Categories,Overall score,49.6,Upper middle income,6190,50.8,8.730690365678642,GNI per capita (US$) is 6190
2022,Costa Rica,CRI,All Categories,Overall score,56.8,Upper middle income,12310,50.8,9.4181672191785,GNI per capita (US$) is 12310
