element,ogdi,total_mean,total_median
Coverage subscore,OGDI,40.23852461958082,40.74074074074074
Openness subscore,OGDI,52.964015151515156,51.81818181818182
Overall score,OGDI,46.73733168726206,46.60878112712975
Coverage subscore,non-OGDI,55.578267045454545,56.595454545454544
Openness subscore,non-OGDI,53.446969696969695,52.27272727272727
Overall score,non-OGDI,53.93205492424242,52.77272727272727
