country
 Argentina
 Armenia
 Australia
" Belarus, Republic of"
 Belgium
" China, P.R.: Hong Kong"
" China, People’s Republic"
 Colombia
 Costa Rica
 Croatia
 Cyprus
 Ecuador
 Egypt
 El Salvador
 Estonia
 Georgia
 Greece
 Hungary
 Iceland
 India
 Indonesia
 Ireland
 Jordan
 Kazakhstan
 Korea
 Kyrgyz Republic
 Malaysia
 Malta
 Mauritius
 Mexico
" Moldova, Republic of"
 Mongolia
 Morocco
 Norway
 Peru
 Philippines
 Poland
 Russian Federation
 Saudi Arabia
 Senegal
 Seychelles
 Singapore
 South Africa
 Sri Lanka
 Thailand
 Tunisia
 Turkey
 Ukraine
 United Kingdom
 Uruguay
 West Bank and Gaza
